city,state,shape,duration,date_time,lon,lat
Danville,CA,sphere,10 minutes,2020-04-12T23:00:00,-121.9289195804196,37.80068601398601
Universal City,TX,sphere,15 minutes,2020-04-12T21:30:00,-98.30251851851853,29.53841851851852
Elk River,MN,light,approx 1 hour,2020-04-12T23:50:00,-93.5677,45.334300000000006
Central Point,OR,light,20 min,2020-04-13T05:30:00,-122.9367,42.3914
Oakley,CA,sphere,15 minutes,2020-04-13T05:55:00,-121.68869999999998,37.9942
Gilbert,AZ,sphere,10 minutes,2020-04-13T19:10:00,-111.78126499102332,33.33960089766607
Tumwater,WA,light,2 minutes,2020-04-13T19:15:00,-122.9093,47.0073
Franklin,TN,other,7 minutes,2020-04-13T19:15:00,-86.88540525059665,35.91850835322196
Milton,FL,light,10 minutes,2020-04-13T20:30:00,-87.05111638418079,30.697336723163843
Nashville,TN,light,10 min,2020-04-13T20:30:00,-86.7768134860051,36.13170004240882
Ashland City,TN,formation,5 minutes,2020-04-13T20:40:00,-87.0121,36.2833
Douglasville,GA,light,20 minutes,2020-04-13T21:00:00,-84.74740103092783,33.7076443298969
Hartwell,GA,light,30 minutes,2020-04-13T21:00:00,-82.8864,34.3224
Montville,NJ,circle,1 hour,2020-04-13T21:00:00,-74.3631,40.9117
Rossville,GA,light,20 mins,2020-04-13T21:00:00,-85.3101,34.9364
West Islip,NY,light,4,2020-04-13T21:00:00,-73.2962,40.7128
Phenix City,AL,light,20 minutes or better,2020-04-13T21:15:00,-85.06464301075269,32.476770967741935
Asheville,NC,formation,15,2020-04-13T21:30:00,-82.55326561797752,35.58215752808989
Tamassee,SC,light,20 minutes,2020-04-13T21:30:00,-83.0462,34.9257
Jasper,GA,sphere,30-45 minutes,2020-04-13T21:30:00,-84.4278,34.461
Powell,TN,light,10 minutes,2020-04-13T21:35:00,-84.0197,36.0684
Waterbury,CT,sphere,45 minutez,2020-04-13T21:50:00,-73.03441525423729,41.55679782082325
Whitmire,SC,light,8 minutes,2020-04-13T22:00:00,-81.604,34.502
Tullahoma,TN,circle,5 minutes,2020-04-13T22:00:00,-86.1838,35.3512
Thousand Oaks,CA,triangle,1 hour,2020-04-13T22:00:00,-118.84774873239436,34.20418422535211
Modesto,CA,sphere,1 minute,2020-04-13T22:14:00,-120.99442244604316,37.66861323741007
Green Bay,WI,light,20 minutes,2020-04-13T22:30:00,-88.04377663551402,44.52863971962617
Flat Rock,NC,light,5 minutes,2020-04-13T22:30:00,-82.3875,35.2845
Pensacola,FL,unknown,2-3 minutes,2020-04-13T23:30:00,-87.26545408805032,30.462935377358487
Dover,NH,changing,5 minutes,2020-04-14T02:16:00,-70.90978392857143,43.18716428571429
Powell River,BC,light,10 minutes,2020-04-14T02:45:00,-124.3226,50.0163
Montebello,CA,light,4:00 to 5:00,2020-04-14T04:00:00,-118.1083,34.0092
Davis,CA,light,1 hour,2020-04-14T04:00:00,-121.64357625,38.485225
Las Vegas,NV,light,25 minutes,2020-04-14T04:35:00,-115.18659190010855,36.14124586319218
Central Point,OR,circle,15 minutes,2020-04-14T04:45:00,-122.9367,42.3914
Oroville,CA,sphere,5 minutes,2020-04-14T04:50:00,-121.53775096774191,39.48239741935484
Eugene,OR,formation,10 minutes,2020-04-14T05:00:00,-123.12515735785954,44.0395449832776
Las Cruces,NM,formation,30 minutes,2020-04-14T05:45:00,-106.75489560117302,32.32767214076246
Fort Worth,TX,disk,35 seconds,2020-04-14T07:30:00,-97.34710441097364,32.757366003227546
Muskogee,OK,circle,15+,2020-04-14T09:00:00,-95.35847407407408,35.68955111111111
Elephant Butte,NM,other,2 hours,2020-04-14T16:30:00,-107.1847,33.1487
Santa Fe,NM,light,20 minutes,2020-04-14T18:00:00,-105.95390714285716,35.661082683982684
San Diego,CA,triangle,5 seconds,2020-04-14T20:30:00,-117.14026773074254,32.78722907702984
Palm Springs,CA,formation,3 minutes,2020-04-14T20:35:00,-116.53537286821704,33.80016511627907
Easley,SC,circle,1 hour,2020-04-14T22:30:00,-82.5728560283688,34.814192198581566
Carmel,IN,oval,40 minutes,2020-04-14T23:15:00,-86.1435774390244,39.97459756097561
Marysville,MI,triangle,30 seconds,2020-04-14T22:00:00,-82.4767,42.9066
Lodi,CA,light,15 minutes,2020-04-15T05:15:00,-121.26165847953216,38.12603333333333
Montebello,CA,light,15 minutes,2020-04-15T05:30:00,-118.1083,34.0092
Citrus Heights,CA,sphere,2 minutes,2020-04-15T19:00:00,-121.29238225352114,38.693050422535215
Riverside,CA,light,1:00,2020-04-15T20:00:00,-117.4001158071749,33.93964338565022
Glendale,AZ,light,10 minutes,2020-04-15T20:14:00,-112.19439241773964,33.57603490701001
